,SnapId,StartTime,EndTime,2080020,2080021,2080022,2080023,2080024,2080025,2080026,2080027,2080028,2080029,2080030,2080031,2080032,2080033,2080034,2080040,2080041,2080042,2080043,2080044,2080045,2080046,2080047,2080048,2080049,2080050,2080051,2080052,2080053,2080054,2080055,2080056,2080057,2080058,2080059,2080060,2080061,2080062,2080063,2080064,2080065,LoadScore,LoadLevel,PerfScore,PerfLevel
0,23418,2017-08-03 00:30:17,2017-08-03 01:00:21 ,16656.9,23665.9,.5,0,279.5,25.2,128.7,47.7,9.7,13.5,0,82.4,15.8,1.6,653.32,1.6,.4,.02,0,.01,0,9,4,0,24,98.81,100,77.07,79.6,99.95,73.78,96.44,62.78,18.37,91.02,71.12,37.56,97.71,.26,66.67,94.88,78,B,91,A
1,23419,2017-08-03 01:00:21,2017-08-03 01:30:25 ,10229.8,47600.6,0,0,709,16.6,76.5,30,8.8,10.2,0,49.7,7.8,2.2,1599.76,1.5,.4,.03,.01,.02,.01,3,5,0,29.1,99.71,100,79.49,70.83,99.9,68.74,97.23,41.46,59.6,34.42,25.65,65.87,32.62,.58,66.67,99.95,78,B,95,A
2,23420,2017-08-03 01:30:25,2017-08-03 02:00:29 ,45347.3,16978.3,.2,0,995.2,32.8,74.9,30.1,8.3,8.5,0,50.3,6.9,1.4,1239.72,.9,.3,.02,.01,.01,0,5,3,0,34.8,94.06,100,73.06,72.3,99.96,67.23,97.17,17.89,12.46,26.85,29.45,19.26,52.5,2.35,85.71,58.46,76,B,94,A
3,23421,2017-08-03 02:00:29,2017-08-03 02:30:33 ,5827.1,15820.3,0,0,61.2,6.6,38.7,18.1,8,12.4,0,23.8,1.8,1.2,281.09,.3,.2,.01,.01,.01,.01,0,1,0,77.2,99.68,99.99,65.65,55.56,99.95,76.67,95.83,16.03,23.51,44.54,28.12,26.49,.17,.18,57.14,28.57,76,B,98,A
4,23422,2017-08-03 02:30:33,2017-08-03 03:00:37 ,11180.2,18857.5,0,0,73.4,10.1,60.7,24.6,7.5,12.3,0,37.9,5.4,1.3,163.53,.4,.3,.01,.01,.01,0,0,2,0,67.2,99.72,99.99,70.68,69.56,99.95,72.69,97.03,12.5,19.73,38.77,28.2,19.75,.33,.73,0,60.47,78,B,99,A
5,23423,2017-08-03 03:00:37,2017-08-03 03:30:41 ,10874.7,18318.2,0,0,115.3,15.6,72.9,28.2,7,11.1,0,46.8,8,1.5,874.67,.7,.3,.02,.01,.01,0,0,3,0,38.2,99.34,99.99,73.64,75,99.89,68.89,97.62,39.17,22.57,25.6,63.3,21.93,24.32,.41,0,42.11,78,B,95,A
6,23424,2017-08-03 03:30:41,2017-08-03 04:00:45 ,7503.6,16082.9,0,0,73.4,11.6,66.8,26.2,7.5,9.2,0,41.6,6.6,1.4,147.48,.4,.2,.01,.01,.01,0,0,2,0,61.5,99.63,99.99,71.39,71.33,99.93,67.76,97.16,17.98,25.71,39.38,24.37,24.99,8.2,.08,100,83.33,75,C,88,B
7,23425,2017-08-03 04:00:45,2017-08-03 04:30:48 ,3841.4,11443.4,0,0,63.2,5.8,30.2,13.8,7,12,0,18.3,1.1,1.3,636.95,.3,.2,.01,.01,.01,.01,0,1,0,70,99.58,99.99,64.01,49.54,99.93,69.6,96.75,17.72,32.53,43.38,46.01,32.54,1.29,.09,100,72.73,76,B,98,A
8,23426,2017-08-03 04:30:48,2017-08-03 05:00:51 ,197694.6,14294.3,0,0,76.9,5.3,34.8,15.9,7.4,11.9,0,20.5,1.3,1.4,86,.3,.2,.02,.01,.01,.01,0,1,0,68.7,99.57,99.99,64.41,53.54,99.94,70.42,96.9,16.54,26.04,38.12,30.94,29.33,7.61,.27,0,80,78,B,99,A
9,23427,2017-08-03 05:00:51,2017-08-03 05:30:54 ,842836.6,18086.8,0,0,164.9,39,36.2,15.7,7.1,8.8,0,21.9,1.5,1.3,194.53,.8,.3,.04,.01,.02,.01,1,3,0,32.9,99.15,99.94,65.34,54.62,99.95,69.92,97.31,29.01,22.87,41.8,40.49,22.55,10.87,11.02,66.67,57.89,76,B,94,A
10,23428,2017-08-03 05:30:54,2017-08-03 06:00:01 ,5395.2,11548.5,0,0,67.4,6.7,40.1,16.9,7.5,2.9,0,24.9,2.2,1.2,117.19,.2,.1,.01,.01,.01,0,0,2,0,55.8,99.59,99.99,67.1,55.87,99.92,71.41,94.38,15,18.5,42.64,29.63,23.61,.12,.28,50,81.82,75,C,86,B
11,23429,2017-08-03 06:00:01,2017-08-03 06:30:05 ,4568.9,9891.2,0,0,61.3,5.8,37,16.4,7.5,4,0,21.9,1.6,1.2,251.13,.4,.1,.02,.01,.01,0,1,4,0,36,99.49,99.99,65.88,54.12,99.93,73.87,93.33,15.01,12.41,45.01,32.62,24.79,.53,.32,50,53.85,75,C,83,B
12,23430,2017-08-03 06:30:05,2017-08-03 07:00:02 ,5779.2,14053.5,0,0,74.3,7.3,44.9,19.9,9.5,3.5,0,26.3,2.2,1.3,276.13,.3,.2,.01,.01,.01,0,0,2,0,56,99.61,100,66.11,52.31,99.94,77.61,91.81,12.07,14.79,39.48,23.43,18.02,2.13,.92,100,90.7,75,C,86,B
13,23431,2017-08-03 07:00:02,2017-08-03 07:30:05 ,12595.4,28279.4,.1,0,88.3,17.1,89.4,37.2,13,9.9,0,54.5,8.4,1.5,755.44,.8,.4,.01,.01,.01,0,1,4,0,44.6,99.75,100,71.67,65.11,99.91,86.82,90.28,7.3,12,50.33,20.05,17.94,80.53,.84,0,99.71,76,B,97,A
