0,71
1,69
2,71
3,69
4,69
5,65
6,67
7,67
8,69
9,67
10,69
11,63
12,69
13,67
14,69
15,63
16,69
17,65
18,70
19,71
20,73
21,69
22,69
23,69
24,69
25,69
26,69
27,65
28,68
29,68
30,70
31,69
32,73
33,68
34,68
35,69
36,68
37,73
38,68
39,67
40,69
41,67
42,71
43,64
44,69
45,67
46,69
47,63
48,69
49,71
50,70
51,66
52,67
53,61
54,68
55,71
56,67
57,65
58,71
59,61
60,76
61,69
62,69
63,63
64,69
65,67
66,69
67,69
68,69
69,67
70,71
71,69
72,71
73,63
74,68
75,67
76,69
77,67
78,71
79,69
80,69
81,66
82,69
83,65
84,67
85,71
86,68
87,63
88,69
89,67
90,71
91,69
92,69
93,67
94,69
95,63
96,67
97,67
98,67
99,67
100,69
101,66
102,67
103,65
104,69
105,67
106,69
107,67
108,69
109,63
110,69
111,67
112,69
113,67
114,69
115,67
116,69
117,67
118,67
119,65
120,70
121,65
122,69
123,67
124,69
125,61
126,69
127,67
128,68
129,63
130,69
131,67
132,73
133,71
134,73
135,67
136,69
137,67
138,71
139,67
140,69
141,69
142,69
143,67
144,69
145,67
146,69
147,69
148,71
149,67
150,69
151,69
152,69
153,67
154,67
155,69
156,69
157,67
158,71
159,73
160,68
161,69
162,67
163,71
164,69
165,69
166,71
167,69
168,68
169,63
170,67
171,63
172,69
173,67
174,69
175,69
176,71
177,67
178,70
179,66
180,73
181,71
182,74
183,69
184,71
185,67
186,69
187,67
188,71
189,67
190,71
191,68
192,69
193,69
194,69
195,63
196,70
197,69
198,67
199,67
200,69
201,69
202,71
203,68
204,67
205,63
206,67
207,63
208,71
209,68
210,70
211,73
212,74
213,67
214,71
215,69
216,73
217,69
218,67
219,69
220,69
221,69
222,71
223,67
224,69
225,67
226,67
227,67
228,73
229,70
230,67
231,63
232,67
233,63
234,67
235,63
236,75
237,73
238,73
239,67
240,69
241,67
242,71
243,64
244,69
245,67
246,69
247,69
248,69
249,67
250,69
251,67
252,69
253,69
254,69
255,71
256,69
257,71
258,69
259,74
260,71
261,71
262,74
263,74
264,76
265,71
266,71
267,67
268,71
269,67
270,71
271,67
272,71
273,75
274,76
275,71
276,74
277,71
278,73
279,71
280,73
281,71
282,70
283,68
284,71
285,71
286,73
287,71
288,73
289,71
290,73
291,73
292,73
293,71
294,73
295,73
296,73
297,71
298,73
299,68
300,70
301,71
302,73
303,71
304,73
305,71
306,71
307,71
308,74
309,77
310,73
311,77
312,73
313,71
314,74
315,71
316,73
317,76
318,73
319,71
320,73
321,74
322,73
323,71
324,74
325,78
326,76
327,71
328,73
329,68
330,73
331,68
332,73
333,73
334,73
335,71
336,73
337,69
338,70
339,65
340,71
341,71
342,73
343,70
344,71
345,71
346,71
347,71
348,73
349,69
350,73
351,71
352,73
353,71
354,73
355,73
356,76
357,76
