X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,Y
78,83,89,90,88,90,88,90,88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90
83,89,90,88,90,88,90,88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86
89,90,88,90,88,90,88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90
90,88,90,88,90,88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90
88,90,88,90,88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85
90,88,90,88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87
88,90,88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85
90,88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91
88,89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85
89,88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88
88,90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89
90,90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85
90,90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87
90,87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84
87,89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87
89,87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85
87,84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87
84,90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91
90,90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90
90,90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85
90,85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88
85,90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82
90,85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82
85,90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88
90,91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90
91,86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87
86,87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90
87,86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87
86,88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90
88,85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87
85,85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90
85,87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87
87,83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89
83,88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90
88,88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89
88,89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87
89,85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86
85,90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86
90,84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86
84,90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87
90,85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89
85,90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90
90,90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91
90,90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88
90,85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87
85,89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84
89,84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90
84,90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85
90,86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89
86,90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86
90,86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90
86,90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90,85
90,90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90,85,90
90,85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90,85,90,86
85,87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90,85,90,86,89
87,85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90,85,90,86,89,85
85,91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90,85,90,86,89,85,89
91,85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90,85,90,86,89,85,89,88
85,88,89,85,87,84,87,85,87,91,90,85,88,82,82,88,90,87,90,87,90,87,90,87,89,90,89,87,86,86,86,87,89,90,91,88,87,84,90,85,89,86,90,85,90,86,89,85,89,88,89
